"postcode","area06","geocentx","geocenty"
"2000",0.000334431744526,151.208207603857,-33.8666431544485
"2006",6.8894501096e-05,151.186943066812,-33.8876447804059
"2007",5.62546578641e-05,151.197987337540,-33.8801312953211
"2008",0.000117340968441,151.197737281634,-33.8884719623073
"2009",0.000118399198674,151.195076078995,-33.8701939868003
"2010",0.000209826662771,151.215102525529,-33.8821165632787
"2011",0.000176200909759,151.22202937415,-33.8702203658542
"2015",0.000389213614771,151.192279511525,-33.9104612217335
"2016",0.000117387881009,151.206370196988,-33.8931304041085
"2017",0.000187093175397,151.207849247985,-33.9030755357564
"2018",0.000267223630899,151.206411296983,-33.9216044260249
"2019",0.000913586481028,151.209592918944,-33.9477111483504
"2020",0.000856409446971,151.186206386357,-33.9390282336552
"2021",0.000358731021103,151.224990247457,-33.8904177866170
"2022",0.000134796053775,151.249813087349,-33.8938655283247
"2023",0.000200117088849,151.255913840744,-33.8817893862998
"2024",0.000240312316306,151.258356566735,-33.9027194707209
"2025",0.000121232228302,151.243706002662,-33.8867911775537
"2026",0.000354689567888,151.272470841091,-33.8892662920101
"2027",0.000151756192669,151.240747892011,-33.8727586254066
"2028",8.42260255681e-05,151.245747629998,-33.8772110462641
"2029",0.000253319662169,151.268542128033,-33.873977389433
"2030",0.000448501075159,151.278419593376,-33.8571783707871
"2031",0.000796514630533,151.241579847919,-33.9110670837673
"2032",0.000263633932546,151.229843795261,-33.9263800058528
"2033",0.000253101351141,151.220681964458,-33.9133176952988
"2034",0.000285116346583,151.254649940025,-33.9243611512412
"2035",0.000663493319313,151.241065408195,-33.9436315111918
"2036",0.00150139635701,151.239268591322,-33.9714840838709
"2037",0.000218288972324,151.184876068256,-33.8786624347751
"2038",0.000137115490479,151.171108434308,-33.8810883808732
"2039",0.000197968898278,151.173418965599,-33.8636024284636
"2040",0.000463907614937,151.157558994120,-33.8772117346641
"2041",0.000228649397567,151.18201422837,-33.8564438646285
"2042",0.000186060315418,151.178050565333,-33.8987724406664
"2043",0.000114666888979,151.187796225794,-33.9004933836723
"2044",0.000363341356239,151.168506040148,-33.9209081879958
"2045",0.000232306262896,151.139995954170,-33.8779346005803
"2046",0.000588994634289,151.132239862164,-33.8608894643197
"2047",0.0002187326402,151.152876606328,-33.8524317330718
"2048",0.000119896869686,151.166177183357,-33.8931084833499
"2049",0.000197201798239,151.152513894931,-33.8950602079519
"2050",7.41120798249e-05,151.177055949795,-33.8892473892758
"2060",0.000236282271851,151.204184588329,-33.8397105113161
"2061",6.96712744145e-05,151.214366293848,-33.8471653200654
"2062",0.000141441569915,151.214273359641,-33.8222971954356
"2063",0.00027742371571,151.217819123151,-33.8108665861926
"2064",0.000263947093104,151.185618978726,-33.8112325096243
"2065",0.000564058357795,151.194932946162,-33.8261847681579
"2066",0.000935118515655,151.161819430225,-33.8162647706785
"2067",0.000717401607834,151.171768171719,-33.7964914190866
"2068",0.000549755665025,151.208340874561,-33.7996126331084
"2069",0.00069737400703,151.195462229805,-33.7826139635738
"2070",0.000686279770584,151.170039987292,-33.7765790632546
"2071",0.000837831458205,151.166659518198,-33.7634366794720
"2072",0.000373899785959,151.153512030445,-33.7551428493143
"2073",0.000944439297685,151.136477401626,-33.7513810926296
"2074",0.00214091192537,151.1387693316,-33.7117986148513
"2075",0.00172924394887,151.170782308556,-33.7208861220677
"2076",0.00154893557988,151.116161623790,-33.7162957835113
"2077",0.00231691679839,151.102510681546,-33.6786864104193
"2079",0.000520119826491,151.11483136628,-33.6638751355419
"2080",0.00027055089252,151.130736644593,-33.6558349042805
"2081",0.000917408913866,151.141565006405,-33.6250062204776
"2082",0.000654224285768,151.137479894731,-33.6109370169757
"2083",0.0128115480443,151.203637863406,-33.5560501217002
"2084",0.00727237832002,151.215105450307,-33.6619371208914
"2085",0.00282794571909,151.231977800769,-33.7172733455087
"2086",0.000880664286302,151.225054299663,-33.7508157406886
"2087",0.000741905511134,151.213198647457,-33.7660562484534
"2088",0.000831930423413,151.244782459838,-33.8290680567191
"2089",0.000149668798342,151.218343755373,-33.835803821382
"2090",0.000217152528392,151.226714179995,-33.8300421227078
"2092",0.000301241453681,151.241863527622,-33.7921069062176
"2093",0.000711434944234,151.261063641955,-33.7950776459015
"2094",0.000116464582992,151.273739500290,-33.7941288455340
"2095",0.000544689206282,151.291174482846,-33.8048234477324
"2096",0.000316818513725,151.285852736348,-33.7750607732423
"2097",0.000435437153241,151.295539660881,-33.733506139262
"2099",0.00135814297989,151.276181698757,-33.7416019455291
"2100",0.00131040112679,151.256070173135,-33.7645655102277
"2101",0.0016810220899,151.274066855036,-33.6899964647802
"2102",0.000514049447114,151.292540694694,-33.688277824503
"2103",0.000512808665515,151.301905064036,-33.6753292177035
"2104",0.000251083311168,151.291433117058,-33.6613011096305
"2105",0.000227785237784,151.283013439820,-33.6499233402085
"2106",0.000361527940178,151.315458535306,-33.6568634278818
"2107",0.00077113989827,151.324280556635,-33.6320908406248
"2108",0.00356358342752,151.264552757745,-33.6088934054887
"2109",0.000189681322617,151.113813751890,-33.7716466576722
"2110",0.000402480729295,151.148940624280,-33.8318322026685
"2111",0.000499794076228,151.127514461169,-33.8294913919669
"2112",0.00084984959662,151.109923247060,-33.8122174756649
"2113",0.000953107006387,151.129781998766,-33.7911798673989
"2114",0.000617175355688,151.084100746670,-33.8070755536274
"2115",0.000383131023804,151.061263385181,-33.8124386836099
"2116",0.000411603275897,151.039151305685,-33.8119988144193
"2117",0.000705503553601,151.040989239247,-33.7958386291952
"2118",0.00092542958567,151.041808867913,-33.7776303829868
"2119",0.000672082906563,151.065015548147,-33.7542697803291
"2120",0.00135021984471,151.07583650645,-33.7268130920379
"2121",0.000888082287072,151.081160904526,-33.7690690555373
"2122",0.000945767915425,151.092209576180,-33.7842125534647
"2125",0.000878933467789,151.033812795750,-33.7485773000764
"2126",0.000816562382578,151.046026210383,-33.722334221582
"2127",0.000129510957957,151.054544588747,-33.8396406850314
"2128",8.05708729306e-05,151.039064250201,-33.8370809377445
"2130",0.000102365516483,151.137892339022,-33.8919844775
"2131",0.000340481626577,151.126555991822,-33.8891475949981
"2132",0.000243510706871,151.115706072264,-33.8801152737255
"2133",0.000251709990102,151.103191521331,-33.8971996853255
"2134",0.000232045939214,151.1036902147,-33.8783224001797
"2135",0.000744572861175,151.081891222987,-33.8810139329546
"2136",9.67008129189e-05,151.098259194579,-33.8900743202854
"2137",0.000686149725865,151.103886927176,-33.8552238107301
"2138",0.000418298397325,151.089593193075,-33.8404196759831
"2140",0.00041750712095,151.075341941252,-33.8591274242385
"2141",0.00196271243736,151.054096313085,-33.8553781355021
"2142",0.000950243085287,151.019789732484,-33.8331689068412
"2143",0.000238308795946,151.025108355038,-33.8880967801651
"2144",0.000843913487999,151.025508271165,-33.8559453577192
"2145",0.0021547252298,150.958922293215,-33.8137197162022
"2146",0.000652763656758,150.956214682547,-33.7897721899176
"2147",0.00155094232455,150.936501179632,-33.7683918096736
"2148",0.00444753593083,150.900024396613,-33.7896187399299
"2150",0.000627525104463,151.005375628132,-33.8144762100042
"2151",0.000864750465979,151.014932989632,-33.7816061248701
"2152",0.000403702758729,150.996422004825,-33.7857026479379
"2153",0.00251011454994,150.973895365145,-33.7530286920333
"2154",0.00184595519031,150.999730887488,-33.7280615177407
"2155",0.00329849437465,150.937420277806,-33.693604324912
"2156",0.00589931319656,150.971413024508,-33.6538966003852
